x-axis,V_INS,V_INC,V_OUT
second,Volt,Volt,Volt
+74.4000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+74.7000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+75.0000E-03,-137.8126E-03,+65.3124E-03,+29.2969E-03
+75.3000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+75.6000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+75.9000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+76.2000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+76.5000E-03,-137.8126E-03,+45.7811E-03,+35.1562E-03
+76.8000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+77.1000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+77.4000E-03,-137.8126E-03,+45.7811E-03,+35.1562E-03
+77.7000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+78.0000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+78.3000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+78.6000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+78.9000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+79.2000E-03,-137.8126E-03,+45.7811E-03,+35.1562E-03
+79.5000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+79.8000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+80.1000E-03,-137.8126E-03,+45.7811E-03,+41.0156E-03
+80.4000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+80.7000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+81.0000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+81.3000E-03,-137.8126E-03,+45.7811E-03,+35.1562E-03
+81.6000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+81.9000E-03,-157.3439E-03,+45.7811E-03,+29.2969E-03
+82.2000E-03,-137.8126E-03,+45.7811E-03,+35.1562E-03
+82.5000E-03,-157.3439E-03,+45.7811E-03,+35.1563E-03
+82.8000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+83.1000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+83.4000E-03,-137.8126E-03,+45.7811E-03,+41.0156E-03
+83.7000E-03,-137.8126E-03,+45.7811E-03,+35.1563E-03
+84.0000E-03,-137.8126E-03,+45.7811E-03,+29.2969E-03
+84.3000E-03,-137.8126E-03,+45.7811E-03,+35.1562E-03
+84.6000E-03,-157.3439E-03,+45.7811E-03,+35.1563E-03
+84.9000E-03,-137.8126E-03,+45.7811E-03,+41.0156E-03
