x-axis,VREF,VOUT_FILT
second,Volt,Volt
+132.0000E-03,-406.2500E-03,-281.2500E-03
+132.5000E-03,-406.2500E-03,-281.2500E-03
+133.0000E-03,-406.2500E-03,-125.0000E-03
+133.5000E-03,-406.2500E-03,-125.0000E-03
+134.0000E-03,-250.0000E-03,-125.0000E-03
+134.5000E-03,-250.0000E-03,-281.2500E-03
+135.0000E-03,-406.2500E-03,-281.2500E-03
+135.5000E-03,-406.2500E-03,+31.2500E-03
+136.0000E-03,-406.2500E-03,-281.2500E-03
+136.5000E-03,-562.5000E-03,-125.0000E-03
+137.0000E-03,-406.2500E-03,-125.0000E-03
+137.5000E-03,-406.2500E-03,-281.2500E-03
+138.0000E-03,-250.0000E-03,-125.0000E-03
+138.5000E-03,-406.2500E-03,-281.2500E-03
+139.0000E-03,-406.2500E-03,-125.0000E-03
+139.5000E-03,-406.2500E-03,-437.5000E-03
+140.0000E-03,-406.2500E-03,-125.0000E-03
+140.5000E-03,-250.0000E-03,-125.0000E-03
+141.0000E-03,-406.2500E-03,-281.2500E-03
+141.5000E-03,-406.2500E-03,-125.0000E-03
+142.0000E-03,-250.0000E-03,-281.2500E-03
+142.5000E-03,-250.0000E-03,-125.0000E-03
+143.0000E-03,-250.0000E-03,-281.2500E-03
+143.5000E-03,-406.2500E-03,-125.0000E-03
+144.0000E-03,-406.2500E-03,-281.2500E-03
+144.5000E-03,-250.0000E-03,-281.2500E-03
+145.0000E-03,-406.2500E-03,-281.2500E-03
+145.5000E-03,-250.0000E-03,-125.0000E-03
+146.0000E-03,-406.2500E-03,-281.2500E-03
+146.5000E-03,-562.5000E-03,-281.2500E-03
+147.0000E-03,-406.2500E-03,-281.2500E-03
+147.5000E-03,-406.2500E-03,-281.2500E-03
+148.0000E-03,-406.2500E-03,-281.2500E-03
+148.5000E-03,-406.2500E-03,-281.2500E-03
+149.0000E-03,-406.2500E-03,-125.0000E-03
+149.5000E-03,-406.2500E-03,-125.0000E-03
+150.0000E-03,-406.2500E-03,-281.2500E-03
+150.5000E-03,-406.2500E-03,-281.2500E-03
+151.0000E-03,-406.2500E-03,-125.0000E-03
+151.5000E-03,-406.2500E-03,-125.0000E-03
+152.0000E-03,-406.2500E-03,-281.2500E-03
+152.5000E-03,-406.2500E-03,-281.2500E-03
+153.0000E-03,-406.2500E-03,-125.0000E-03
+153.5000E-03,-250.0000E-03,-125.0000E-03
+154.0000E-03,+375.0000E-03,-125.0000E-03
+154.5000E-03,+375.0000E-03,-125.0000E-03
+155.0000E-03,+531.2500E-03,-125.0000E-03
+155.5000E-03,+687.5000E-03,-281.2500E-03
